project_type,area_hectares,duration_years,baseline_emissions,expected_emission_reduction,location,emission_factor,carbon_credits_generated
biochar_production,475.05,11,527,411,Mizoram,1.8,428.4
methane_capture,158.6,20,1309,237,Puducherry,0.61,590.48
wetland_restoration,48.36,13,829,106,Sikkim,1.68,819.84
methane_capture,44.84,18,1063,209,Kerala,2.21,1748.11
carbon_sequestration,459.62,25,1217,1059,West Bengal,1.33,1038.73
geothermal_energy,337.9,26,1470,1042,Gujarat,0.81,964.71
solar_power,377.43,20,1309,140,Meghalaya,1.48,1771.56
reforestation,101.72,19,1416,263,Chandigarh,1.43,1341.34
wetland_restoration,56.41,23,1205,875,Madhya Pradesh,2.25,2209.5
solar_power,57.85,29,1284,1099,Punjab,2.25,1815.75
green_building,18.35,12,1207,789,Andhra Pradesh,1.1,1212.2
reforestation,272.31,10,1607,1008,Punjab,1.14,1333.8
reforestation,305.16,9,1092,444,Kerala,1.63,1411.58
solar_power,260.22,9,777,760,Punjab,1.31,698.23
sustainable_agriculture,23,27,511,321,Mizoram,1.87,716.21
green_building,252.39,6,1076,877,Karnataka,0.55,378.4
biochar_production,186.45,20,1613,1268,Tamil Nadu,1.95,2886
methane_capture,153.91,9,1200,913,Odisha,1.8,1854
wind_energy,253.43,8,970,660,Bihar,0.94,774.56
sustainable_agriculture,240.86,18,1057,400,Himachal Pradesh,2.24,1641.92
green_building,376.75,19,510,346,Himachal Pradesh,2.15,722.4
electric_mobility,174.47,8,1369,1077,Gujarat,0.52,550.16
green_building,200.51,13,1338,1285,Gujarat,1.82,1905.54
solar_power,127.46,8,439,170,Lakshadweep,1.49,403.79
carbon_sequestration,190.18,6,1052,168,Sikkim,2.48,2284.08
sustainable_agriculture,312.24,5,653,796,Madhya Pradesh,0.99,402.93
wind_energy,127.82,25,1081,626,Dadra and Nagar Haveli and Daman and Diu,2.1,1558.2
solar_power,8.32,9,880,345,Tripura,0.9,606.6
sustainable_agriculture,312.77,23,1294,374,Kerala,1.79,1569.83
afforestation,345.18,29,715,245,Goa,0.99,258.39
geothermal_energy,291.71,20,1181,379,Nagaland,0.61,635.01
green_building,415.19,19,1669,1343,Gujarat,1.35,1717.2
green_building,376.76,21,1195,1118,Telangana,2.34,1970.28
carbon_sequestration,487.04,28,1143,666,Andhra Pradesh,1.1,1105.5
reforestation,374.84,5,1456,1330,Tamil Nadu,0.51,620.67
wetland_restoration,384.81,11,1416,751,West Bengal,1.87,2167.33
geothermal_energy,385.14,19,698,253,Assam,2.04,842.52
wetland_restoration,148.54,16,1328,159,Ladakh,2.33,2786.68
carbon_sequestration,417.15,9,1199,841,Dadra and Nagar Haveli and Daman and Diu,1.26,1220.94
green_building,78.88,18,1365,276,Tripura,2.2,2565.2
reforestation,121.59,20,756,187,Ladakh,1.22,783.24
wetland_restoration,170.92,9,467,611,Dadra and Nagar Haveli and Daman and Diu,1.65,363
wind_energy,463.47,20,786,992,Punjab,1.5,432
wetland_restoration,289.73,8,1230,195,Goa,2.11,2314.67
geothermal_energy,262.79,20,1456,1226,Uttar Pradesh,1.2,1328.4
methane_capture,262.6,19,1335,132,Jammu and Kashmir,0.91,957.32
electric_mobility,117.07,11,1025,76,Ladakh,1.47,1225.98
solar_power,450.67,17,1237,69,Chandigarh,0.78,674.7
green_building,325.77,28,1314,291,Meghalaya,1.18,1390.04
solar_power,216.34,11,865,393,Uttarakhand,2.23,1576.61
wetland_restoration,344.9,18,857,712,Rajasthan,0.82,393.6
electric_mobility,341.36,28,1364,624,Dadra and Nagar Haveli and Daman and Diu,1.64,1638.36
solar_power,185.65,6,1054,275,Jammu and Kashmir,1.22,984.54
sustainable_agriculture,204.62,7,1943,1130,Maharashtra,0.69,1006.02
methane_capture,184.45,12,1027,226,Mizoram,2.15,1767.3
green_building,325.29,9,983,1144,Telangana,2.43,1285.47
electric_mobility,185.57,5,1564,1164,Tamil Nadu,1.81,2626.31
geothermal_energy,435.84,6,1250,438,Tripura,1.94,2073.86
biochar_production,42.77,18,1120,420,Meghalaya,0.71,455.82
biochar_production,94.15,15,746,194,Arunachal Pradesh,1.63,565.61
reforestation,439.23,15,892,216,Arunachal Pradesh,1.77,998.28
